Clinical Synopsis Search - 'neuromuscular disorders (Entries with: clinical synopsis; Retrieve: clinical synopsis)'
Downloaded:	Sep 17, 2017
Copyright (c) 1966-2017 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Entrez Gene ID
#209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	
#602014	HYPOMAGNESEMIA 1, INTESTINAL; HOMG1	
#616325	MYASTHENIC SYNDROME, CONGENITAL, 9, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY; CMS9	
#616314	MYASTHENIC SYNDROME, CONGENITAL, 2C, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY; CMS2C	
#616323	MYASTHENIC SYNDROME, CONGENITAL, 3C, ASSOCIATED WITH ACETYLCHOLINE RECEPTOR DEFICIENCY; CMS3C	
#158580	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA; HMN7A	
#300842	MCLEOD SYNDROME; MCLDS	
#314580	WIEACKER-WOLFF SYNDROME; WRWF	
#530000	KEARNS-SAYRE SYNDROME; KSS	
#607855	MUSCULAR DYSTROPHY, CONGENITAL MEROSIN-DEFICIENT, 1A; MDC1A	
%187370	ARTHROGRYPOSIS, DISTAL, TYPE 10; DA10	
%167870	PANIC DISORDER 1; PAND1	387572
#614862	PEROXISOME BIOGENESIS DISORDER 4A (ZELLWEGER); PBD4A	
#614866	PEROXISOME BIOGENESIS DISORDER 5A (ZELLWEGER); PBD5A	
#276700	TYROSINEMIA, TYPE I; TYRSN1	
#602771	RIGID SPINE MUSCULAR DYSTROPHY 1; RSMD1	
#130050	EHLERS-DANLOS SYNDROME, TYPE IV, AUTOSOMAL DOMINANT	
#608099	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2D; LGMD2D	
#253800	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 4; MDDGA4	
254200	MYASTHENIA GRAVIS; MG	
#154700	MARFAN SYNDROME; MFS	
#609049	PIERSON SYNDROME	
#601539	PEROXISOME BIOGENESIS DISORDER 1B; PBD1B	
#214100	PEROXISOME BIOGENESIS DISORDER 1A (ZELLWEGER); PBD1A	
#614870	PEROXISOME BIOGENESIS DISORDER 6A (ZELLWEGER); PBD6A	
#614872	PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER); PBD7A	
#614876	PEROXISOME BIOGENESIS DISORDER 8A (ZELLWEGER); PBD8A	
#614882	PEROXISOME BIOGENESIS DISORDER 10A (ZELLWEGER); PBD10A	
#614883	PEROXISOME BIOGENESIS DISORDER 11A (ZELLWEGER); PBD11A	
#614886	PEROXISOME BIOGENESIS DISORDER 12A (ZELLWEGER); PBD12A	
#612998	EMERY-DREIFUSS MUSCULAR DYSTROPHY 4, AUTOSOMAL DOMINANT; EDMD4	
#151660	LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2; FPLD2	
#130000	EHLERS-DANLOS SYNDROME, CLASSIC TYPE	
#302060	BARTH SYNDROME; BTHS	
%130020	EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE	
#616719	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 21; SCAR21	
#255700	MYOTONIA CONGENITA, AUTOSOMAL RECESSIVE	
#167320	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1	
#617011	MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR	
#300696	MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY; XMPMA	
#606408	EHLERS-DANLOS SYNDROME DUE TO TENASCIN-X DEFICIENCY	
#600462	MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 1; MLASA1	
#601472	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2D; CMT2D	
#118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B	
#300653	PHOSPHOGLYCERATE KINASE 1 DEFICIENCY	
%125480	MAJOR AFFECTIVE DISORDER 1; MAFD1	4095
%143850	ORTHOSTATIC HYPOTENSIVE DISORDER, STREETEN TYPE	50948
#601399	PLATELET DISORDER, FAMILIAL, WITH ASSOCIATED MYELOID MALIGNANCY; FPDMM	
#601709	QUEBEC PLATELET DISORDER; QPD	
#602081	SPEECH-LANGUAGE DISORDER 1; SPCH1	
%209850	AUTISM	100188832
#214110	PEROXISOME BIOGENESIS DISORDER 2A (ZELLWEGER); PBD2A	
#603218	HUNTINGTON DISEASE-LIKE 1; HDL1	
%309200	MAJOR AFFECTIVE DISORDER 2; MAFD2	4096
#609821	BLEEDING DISORDER, PLATELET-TYPE, 8; BDPLT8	
#614009	BLEEDING DISORDER, PLATELET-TYPE, 13, SUSCEPTIBILITY TO; BDPLT13	
#614859	PEROXISOME BIOGENESIS DISORDER 3A (ZELLWEGER); PBD3A	
#614887	PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER); PBD13A	
#615273	CONGENITAL DISORDER OF DEGLYCOSYLATION; CDDG	
#617101	INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN	
#607426	COENZYME Q10 DEFICIENCY, PRIMARY, 1; COQ10D1	
#616756	SPASTIC PARAPLEGIA AND PSYCHOMOTOR RETARDATION WITH OR WITHOUT SEIZURES; SPPRS	
#148210	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT	
#309500	RENPENNING SYNDROME 1; RENS1	
#145410	OPITZ GBBB SYNDROME, TYPE II; GBBB2	
#616304	MYASTHENIC SYNDROME, CONGENITAL, 17; CMS17	
#616852	MYOPATHY, SCAPULOHUMEROPERONEAL; SHPM	
#145600	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1	
+177400	BUTYRYLCHOLINESTERASE; BCHE	590
#176270	PRADER-WILLI SYNDROME; PWS	
#137440	GERSTMANN-STRAUSSLER DISEASE; GSD	
#250940	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblG COMPLEMENTATION TYPE; HMAG	
#609286	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 3; PEOA3	
%252100	MOHR SYNDROME	
#155310	VISCERAL MYOPATHY; VSCM	
159400	MYASTHENIA, LIMB-GIRDLE, AUTOIMMUNE	
#603041	MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (MNGIE TYPE); MTDPS1	
#201470	ACYL-CoA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF; ACADSD	
#609260	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2A2A; CMT2A2A	
#160565	MYOPATHY, TUBULAR AGGREGATE, 1; TAM1	
#617146	ARTHROGRYPOSIS, DISTAL, WITH IMPAIRED PROPRIOCEPTION AND TOUCH; DAIPT	
#105830	ANGELMAN SYNDROME; AS	
#232300	GLYCOGEN STORAGE DISEASE II; GSD2	
#615803	PONTOCEREBELLAR HYPOPLASIA, TYPE 10; PCH10	
#617133	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 24; SCAR24	
151800	LIPOMATOSIS, MULTIPLE SYMMETRIC; MSL	
#242840	VICI SYNDROME; VICIS	
#616231	MYOPATHY, VACUOLAR, WITH CASQ1 AGGREGATES; VMCQA	
#141500	MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1	
#615352	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 14; MDDGC14	
#310400	MYOPATHY, CENTRONUCLEAR, X-LINKED; CNMX	
#218040	COSTELLO SYNDROME; CSTLO	
#617132	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 44; EIEE44	
#131440	MYELOPROLIFERATIVE DISORDER, CHRONIC, WITH EOSINOPHILIA	
+132810	EPOXIDE HYDROLASE 1, MICROSOMAL; EPHX1	2052
#137580	GILLES DE LA TOURETTE SYNDROME; GTS	
#139090	GRAY PLATELET SYNDROME; GPS	
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	
#143890	HYPERCHOLESTEROLEMIA, FAMILIAL	
%149300	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 2; NDNC2	
#151600	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3; NDNC3	
#600501	ABCD SYNDROME; ABCDS	
%600511	SCHIZOPHRENIA 3; SCZD3	6365
#601154	CARDIOMYOPATHY, DILATED, 1E; CMD1E	
#601110	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id; CDG1D	
601427	ANTERIOR CHAMBER CLEAVAGE DISORDER, CEREBELLAR HYPOPLASIA, HYPOTHYROIDISM, AND TRACHEAL STENOSIS	
#190685	DOWN SYNDROME	
%193003	NYSTAGMUS 4, CONGENITAL, AUTOSOMAL DOMINANT; NYS4	317685
#200150	CHOREOACANTHOCYTOSIS; CHAC	
#202370	PEROXISOME BIOGENESIS DISORDER 2B; PBD2B	
#206200	IRON-REFRACTORY IRON DEFICIENCY ANEMIA; IRIDA	
#206800	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 4; NDNC4	
#212065	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A	
#212066	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIa; CDG2A	
212067	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE I/IIx	
%213100	CEREBELLOPARENCHYMAL DISORDER II; CPD2	
#213200	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 2; SCAR2	
#213300	JOUBERT SYNDROME 1; JBTS1	
213400	CEREBELLOPARENCHYMAL DISORDER V; CPD5	
#215100	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 1; RCDP1	
217200	CONVULSIVE DISORDER, FAMILIAL, WITH PRENATAL OR EARLY ONSET	
#219200	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA; ARCL2A	
224000	DYSAUTONOMIA-LIKE DISORDER	
227010	ERMINE PHENOTYPE	
#602579	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib; CDG1B	
#603147	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ic; CDG1C	
#603585	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIf; CDG2F	
#300884	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 36; EIEE36	
#300896	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm; CDG2M	




